experiment	timepoint	t_hdr_rate	hq_snv_hdr_rate	oligo_variants	possible_oligo_variants	percent	sge_region	replicate
VHLx2rL43	Day.6	0.352453576	0.190897104	440	440	1	exon 2	1
VHLx2rL44	Day.6	0.314299827	0.167408671	440	440	1	exon 2	2
VHLx3arL43	Day.6	0.320996504	0.192222735	386	386	1	exon 3a	1
VHLx3arL44	Day.6	0.31276718	0.185179415	386	386	1	exon 3a	2
VHLx3brL43	Day.6	0.309461798	0.157234834	405	407	0.995085995	exon 3b	1
VHLx3brL44	Day.6	0.298141772	0.146455442	404	407	0.992628993	exon 3b	2
VHLx1a2rL41	Day.6	0.062471765	0.038929182	392	392	1	exon 1a	1
VHLx1a2rL42	Day.6	0.06234176	0.038690216	392	392	1	exon 1a	2
VHLx1brL43	Day.6	0.158618525	0.07172823	392	392	1	exon 1b	1
VHLx1brL44	Day.6	0.144161199	0.062984244	392	392	1	exon 1b	2
VHLx1c2rL41	Day.6	0.024664373	0.002648855	380	392	0.969387755	exon 1c	1
VHLx1c2rL42	Day.6	0.01903618	0.002832711	373	392	0.951530612	exon 1c	2
VHLx1prL41	Day.6	0.193786411	0.083912558	404	404	1	intron 1	1
VHLx1prL42	Day.6	0.249926149	0.07835628	402	404	0.995049505	intron 1	2
