amplicon	hg19_start
U2	41277632
BRCA1u2	41277632
U1	41277519
BRCA1u1	41277519
X1	41277448
BRCA1x1	41277448
X2	41276192
X3	41267891
BRCA1x3	41267891
X4	41258618
X5	41257033
X15	41223093
X16	41219775
X17	41216050
BRCA1x17	41216050
X18	41215466
X19	41209219
X20	41203207
X21	41201273
X22	41199777
X23	41197877
BRCA1x18	41216050
BRCA1x10a	41246956
BRCA1i15	41221363
BRCA1xAlt	41231486
BRCA1x6a	41256368
BRCA1x11	41243111
BRCA1x12a	41234686
BRCA1x12b	41234587
BRCA1x10h	41245075
BRCA1x10d	41243605
BRCA1i11	41238988
BRCA1x10h2	41246510
BRCA1x5	41257033
VHLx1c	10183435
VHLx1c2	10183435
VHLx1c3	10183435
VHLx1b	10183595
VHLx1a	10183719
VHLx1a2	10183719
VHLx1p	10184387
VHLx2	10188129
VHLx3a	10191398
VHLx3b	10191510
MLH1x10	37058937
MLH1x18	37090327
